,l-r,s-,a-d,e-k
97,0.3,0.5,0.0,0.2
98,0.3,0.3,0.4,0.0
99,0.2,0.2,0.3,0.3
100,0.6,0.1,0.0,0.3
101,0.5,0.0,0.4,0.1
102,0.5,0.2,0.1,0.2
103,0.6,0.1,0.2,0.1
104,0.0,0.4,0.1,0.5
105,0.3,0.1,0.4,0.2
106,0.2,0.1,0.4,0.3
107,0.1,0.1,0.5,0.3
108,0.2,0.1,0.4,0.3
109,0.3,0.3,0.4,0.0
110,0.0,0.8,0.0,0.2
111,0.4,0.0,0.5,0.1
112,0.0,0.1,0.5,0.4
113,0.1,0.0,0.9,0.0
114,0.0,0.6,0.4,0.0
115,0.4,0.2,0.1,0.3
116,0.3,0.6,0.0,0.1
117,0.4,0.0,0.0,0.6
118,0.1,0.6,0.0,0.3
119,0.1,0.1,0.7,0.1
120,1.0,0.0,0.0,0.0
121,0.2,0.4,0.1,0.3
122,0.4,0.2,0.3,0.1
123,0.5,0.0,0.2,0.3
124,0.7,0.1,0.2,0.0
125,0.3,0.2,0.1,0.4
126,0.3,0.2,0.2,0.3
127,0.4,0.1,0.3,0.2
128,0.3,0.1,0.4,0.2
129,0.1,0.0,0.6,0.3
130,0.0,0.0,0.1,0.9
131,0.4,0.0,0.4,0.2
132,0.0,0.6,0.1,0.3
133,0.4,0.1,0.5,0.0
134,0.4,0.1,0.1,0.4
135,0.5,0.1,0.3,0.1
136,0.2,0.2,0.2,0.4
137,0.0,0.7,0.1,0.2
138,0.4,0.2,0.2,0.2
139,0.1,0.0,0.2,0.7
140,0.8,0.0,0.2,0.0
141,0.1,0.1,0.4,0.4
142,0.3,0.2,0.2,0.3
143,0.2,0.2,0.4,0.2
144,0.6,0.2,0.2,0.0
145,0.8,0.1,0.1,0.0
146,0.2,0.2,0.6,0.0
147,0.2,0.2,0.6,0.0
148,0.0,0.5,0.3,0.2
149,0.0,0.9,0.1,0.0
150,0.2,0.3,0.4,0.1
151,0.1,0.1,0.4,0.4
152,0.3,0.1,0.4,0.2
153,0.5,0.2,0.1,0.2
154,0.3,0.2,0.1,0.4
155,0.2,0.7,0.0,0.1
156,0.1,0.7,0.2,0.0
157,0.4,0.1,0.2,0.3
158,0.4,0.1,0.5,0.0
159,0.2,0.2,0.4,0.2
160,0.3,0.1,0.2,0.4
161,0.2,0.3,0.3,0.2
162,0.1,0.2,0.4,0.3
163,0.2,0.3,0.3,0.2
164,0.7,0.2,0.1,0.0
165,0.3,0.1,0.2,0.4
166,0.0,0.6,0.4,0.0
167,0.5,0.0,0.0,0.5
168,0.1,0.3,0.0,0.6
169,0.4,0.2,0.3,0.1
170,0.4,0.0,0.3,0.3
171,0.5,0.1,0.2,0.2
172,0.3,0.7,0.0,0.0
173,0.0,0.0,0.1,0.9
174,0.3,0.2,0.2,0.3
175,0.3,0.3,0.3,0.1
176,0.4,0.1,0.2,0.3
177,0.8,0.0,0.2,0.0
178,0.4,0.6,0.0,0.0
179,0.1,0.1,0.4,0.4
180,0.2,0.2,0.0,0.6
181,0.0,0.1,0.9,0.0
182,0.2,0.1,0.4,0.3
183,0.1,0.4,0.4,0.1
184,0.1,0.1,0.2,0.6
185,0.2,0.2,0.4,0.2
186,0.4,0.1,0.0,0.5
187,0.2,0.0,0.6,0.2
188,0.1,0.8,0.0,0.1
189,0.3,0.0,0.7,0.0
190,0.1,0.2,0.7,0.0
191,0.1,0.6,0.0,0.3
192,0.0,0.0,1.0,0.0
193,0.3,0.1,0.4,0.2
194,0.2,0.2,0.4,0.2
195,0.4,0.0,0.3,0.3
196,0.0,0.2,0.3,0.5
197,0.0,0.1,0.3,0.6
198,0.2,0.0,0.2,0.6
199,0.6,0.2,0.1,0.1
200,0.0,0.3,0.4,0.3
201,0.3,0.2,0.3,0.2
202,0.0,0.6,0.1,0.3
203,0.2,0.4,0.1,0.3
204,0.1,0.1,0.5,0.3
205,0.2,0.7,0.1,0.0
206,0.2,0.3,0.1,0.4
207,0.4,0.1,0.2,0.3
208,0.3,0.1,0.3,0.3
209,0.2,0.1,0.2,0.5
210,0.2,0.0,0.7,0.1
211,0.2,0.2,0.5,0.1
212,0.4,0.1,0.2,0.3
213,0.1,0.1,0.4,0.4
214,0.2,0.2,0.2,0.4
215,0.4,0.2,0.0,0.4
216,0.2,0.0,0.2,0.6
217,0.2,0.3,0.4,0.1
218,0.1,0.1,0.4,0.4
219,0.1,0.4,0.1,0.4
220,0.2,0.1,0.6,0.1
221,0.2,0.4,0.1,0.3
222,0.2,0.1,0.4,0.3
223,0.3,0.1,0.1,0.5
224,0.2,0.2,0.0,0.6
225,0.0,0.1,0.9,0.0
226,0.5,0.1,0.4,0.0
227,0.2,0.3,0.1,0.4
228,0.3,0.2,0.3,0.2
229,0.0,0.1,0.9,0.0
230,0.4,0.3,0.2,0.1
231,0.1,0.1,0.2,0.6
232,0.1,0.3,0.0,0.6
233,0.9,0.0,0.1,0.0
234,0.3,0.2,0.2,0.3
235,0.1,0.6,0.1,0.2
236,0.1,0.2,0.3,0.4
237,0.4,0.1,0.3,0.2
238,0.0,0.4,0.3,0.3
239,0.2,0.3,0.3,0.2
240,0.2,0.1,0.4,0.3
241,0.3,0.4,0.3,0.0
242,0.3,0.0,0.6,0.1
243,0.4,0.3,0.3,0.0
244,0.6,0.0,0.4,0.0
