,e-k,l-r,s-,a-d
137,0.0,0.1,0.7,0.2
138,0.5,0.1,0.2,0.2
139,0.3,0.5,0.1,0.1
140,0.0,0.0,0.2,0.8
141,0.0,0.6,0.1,0.3
142,0.4,0.1,0.4,0.1
143,0.2,0.2,0.3,0.3
144,0.1,0.4,0.2,0.3
145,0.2,0.0,0.4,0.4
146,0.1,0.1,0.0,0.8
147,0.0,0.0,0.1,0.9
148,0.4,0.0,0.2,0.4
149,0.2,0.2,0.3,0.3
150,0.4,0.2,0.0,0.4
151,0.0,0.1,0.0,0.9
152,0.3,0.2,0.2,0.3
153,0.1,0.7,0.2,0.0
154,0.2,0.3,0.2,0.3
155,0.0,0.0,1.0,0.0
156,0.3,0.3,0.3,0.1
157,0.1,0.2,0.2,0.5
158,0.2,0.1,0.3,0.4
159,0.2,0.3,0.3,0.2
160,0.3,0.2,0.2,0.3
161,0.3,0.3,0.3,0.1
162,0.0,0.3,0.4,0.3
163,0.1,0.3,0.4,0.2
164,0.6,0.2,0.1,0.1
165,0.4,0.2,0.1,0.3
166,0.1,0.1,0.3,0.5
167,0.3,0.2,0.1,0.4
168,0.1,0.2,0.3,0.4
169,0.3,0.1,0.4,0.2
170,0.1,0.2,0.4,0.3
171,0.3,0.3,0.1,0.3
172,0.1,0.2,0.6,0.1
173,1.0,0.0,0.0,0.0
174,0.0,0.1,0.9,0.0
175,0.3,0.2,0.2,0.3
176,0.1,0.3,0.5,0.1
177,0.3,0.1,0.0,0.6
178,0.2,0.3,0.1,0.4
179,0.5,0.1,0.3,0.1
180,0.1,0.3,0.5,0.1
181,0.0,0.0,0.0,1.0
182,0.0,0.3,0.3,0.4
183,0.3,0.0,0.7,0.0
184,0.9,0.0,0.1,0.0
185,0.3,0.2,0.3,0.2
186,0.4,0.3,0.2,0.1
187,0.3,0.1,0.0,0.6
188,0.0,0.1,0.9,0.0
189,0.2,0.2,0.2,0.4
190,0.3,0.2,0.0,0.5
191,0.1,0.4,0.4,0.1
192,0.0,0.0,0.0,1.0
193,0.5,0.0,0.2,0.3
194,0.4,0.0,0.3,0.3
195,0.2,0.4,0.3,0.1
196,0.3,0.0,0.3,0.4
197,0.0,0.0,0.1,0.9
198,0.2,0.3,0.1,0.4
199,0.0,1.0,0.0,0.0
200,0.1,0.1,0.2,0.6
201,0.3,0.3,0.2,0.2
202,0.2,0.4,0.3,0.1
203,0.0,0.1,0.5,0.4
204,0.4,0.2,0.0,0.4
205,0.1,0.1,0.8,0.0
206,0.5,0.2,0.1,0.2
207,0.1,0.3,0.4,0.2
208,0.2,0.1,0.1,0.6
209,0.2,0.5,0.1,0.2
210,0.1,0.3,0.1,0.5
211,0.4,0.1,0.1,0.4
212,0.4,0.3,0.3,0.0
213,0.1,0.1,0.4,0.4
214,0.3,0.1,0.3,0.3
215,0.4,0.2,0.2,0.2
216,0.1,0.2,0.3,0.4
217,0.1,0.3,0.3,0.3
218,0.3,0.3,0.1,0.3
219,0.1,0.3,0.1,0.5
220,0.2,0.0,0.1,0.7
221,0.3,0.0,0.4,0.3
222,0.2,0.0,0.2,0.6
223,0.2,0.4,0.1,0.3
224,0.6,0.2,0.2,0.0
225,0.1,0.2,0.3,0.4
226,0.2,0.2,0.6,0.0
227,0.2,0.3,0.4,0.1
228,0.2,0.2,0.3,0.3
229,0.1,0.2,0.2,0.5
230,0.2,0.2,0.2,0.4
231,0.3,0.0,0.6,0.1
232,0.1,0.0,0.5,0.4
233,0.1,0.6,0.2,0.1
234,0.2,0.4,0.0,0.4
235,0.5,0.1,0.3,0.1
236,0.5,0.3,0.1,0.1
237,0.4,0.0,0.3,0.3
238,0.3,0.4,0.2,0.1
239,0.3,0.2,0.1,0.4
240,0.1,0.2,0.1,0.6
241,0.0,0.4,0.6,0.0
242,0.0,0.0,0.0,1.0
243,0.4,0.3,0.3,0.0
244,0.3,0.2,0.2,0.3
