,e-k,a-d,l-r,s-
121,0.4,0.0,0.3,0.3
122,0.1,0.6,0.2,0.1
123,0.3,0.1,0.3,0.3
124,0.3,0.4,0.2,0.1
125,0.5,0.3,0.2,0.0
126,0.0,0.3,0.2,0.5
127,0.4,0.3,0.1,0.2
128,0.1,0.6,0.1,0.2
129,0.0,0.1,0.7,0.2
130,0.1,0.4,0.1,0.4
131,0.4,0.0,0.2,0.4
132,0.3,0.2,0.2,0.3
133,0.0,0.6,0.3,0.1
134,0.5,0.0,0.4,0.1
135,0.0,0.0,1.0,0.0
136,0.0,0.2,0.7,0.1
137,0.2,0.3,0.3,0.2
138,0.1,0.3,0.0,0.6
139,0.2,0.5,0.2,0.1
140,0.1,0.6,0.3,0.0
141,0.1,0.0,0.5,0.4
142,0.2,0.2,0.3,0.3
143,0.2,0.1,0.2,0.5
144,0.2,0.2,0.4,0.2
145,0.0,0.2,0.2,0.6
146,0.4,0.2,0.0,0.4
147,0.2,0.0,0.5,0.3
148,0.2,0.6,0.2,0.0
149,0.0,0.5,0.4,0.1
150,0.2,0.3,0.4,0.1
151,0.0,0.0,0.6,0.4
152,0.2,0.1,0.5,0.2
153,0.5,0.2,0.1,0.2
154,0.3,0.5,0.1,0.1
155,0.4,0.3,0.2,0.1
156,0.3,0.2,0.2,0.3
157,0.3,0.1,0.5,0.1
158,0.1,0.3,0.3,0.3
