,Unknown,Pre-1900s,21st century,20th century
101,0.0,0.0,0.0,0.0
102,5.0,0.0,0.0,1.0
103,0.0,2.0,0.0,1.0
104,0.0,0.0,1.0,0.0
105,1.0,1.0,0.0,0.0
106,2.0,1.0,0.0,0.0
107,2.0,0.0,0.0,0.0
108,6.0,0.0,0.0,0.0
109,1.0,0.0,0.0,0.0
110,9.0,0.0,0.0,0.0
111,1.0,0.0,0.0,1.0
112,3.0,0.0,0.0,0.0
113,7.0,0.0,0.0,0.0
114,5.0,0.0,0.0,0.0
115,2.0,0.0,0.0,1.0
116,1.0,0.0,0.0,1.0
117,3.0,0.0,0.0,0.0
118,2.0,0.0,0.0,0.0
119,1.0,0.0,0.0,0.0
120,6.0,2.0,0.0,0.0
121,2.0,0.0,0.0,0.0
122,4.0,0.0,0.0,0.0
123,1.0,0.0,0.0,1.0
124,2.0,0.0,0.0,0.0
125,1.0,0.0,0.0,0.0
126,1.0,1.0,0.0,0.0
127,2.0,0.0,0.0,0.0
128,6.0,1.0,0.0,1.0
129,8.0,0.0,0.0,0.0
130,6.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,4.0,0.0,0.0,0.0
133,3.0,0.0,0.0,0.0
134,3.0,0.0,0.0,0.0
135,3.0,0.0,0.0,0.0
136,2.0,0.0,3.0,0.0
137,7.0,0.0,0.0,0.0
138,5.0,0.0,0.0,0.0
139,0.0,1.0,0.0,2.0
140,2.0,0.0,0.0,0.0
141,3.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,3.0,1.0,0.0,1.0
145,2.0,0.0,0.0,4.0
146,7.0,0.0,0.0,0.0
147,8.0,0.0,0.0,0.0
148,5.0,0.0,0.0,0.0
149,10.0,0.0,0.0,0.0
150,1.0,0.0,0.0,1.0
151,4.0,0.0,0.0,0.0
152,3.0,0.0,0.0,0.0
153,1.0,0.0,0.0,1.0
154,2.0,0.0,0.0,0.0
155,0.0,0.0,1.0,0.0
156,0.0,0.0,0.0,0.0
157,2.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0
