,s-,e-k,a-d,l-r
140,0.1,0.2,0.3,0.4
141,0.6,0.1,0.2,0.1
142,0.5,0.1,0.2,0.2
143,0.5,0.1,0.1,0.3
144,0.4,0.3,0.1,0.2
145,0.3,0.0,0.2,0.5
146,0.2,0.1,0.2,0.5
147,0.5,0.2,0.1,0.2
148,0.0,0.1,0.1,0.8
149,0.2,0.1,0.2,0.5
150,0.4,0.0,0.4,0.2
151,0.4,0.1,0.1,0.4
152,0.3,0.1,0.3,0.3
153,0.2,0.4,0.2,0.2
154,0.4,0.2,0.2,0.2
155,0.1,0.3,0.3,0.3
156,0.3,0.2,0.3,0.2
157,0.2,0.2,0.2,0.4
158,0.3,0.2,0.4,0.1
